rid,course,time,date,title,rclass,band,ages,distance,condition,hurdles,prizes,winningTime,prize,metric,countryCode,ncond,class
147980,Fairyhouse (IRE),05:50,16/06/29,Family Day At Fairyhouse July 10th Maiden,,,3yo+,7f,Yielding To Soft,,"[6765.0, 2090.0, 990.0, 440.0, 165.0]",92.13,10450,1407,IE,11,0
149583,Maisons-Laffitte (FR),01:20,16/06/29,Prix Prince Bio (Maiden) (Unraced 2yo Colts &amp; Geldings) (Turf),,,2yo,6f,Good,,"[9191.18, 3676.47, 2757.35, 1838.24, 919.12]",73.7,18381,1206,FR,1,0
151934,Perth,02:40,16/06/29,Paywizard Call Centre Team Novices' Handicap Chase,Class 4,0-105,5yo+,2m4f,Good,15 fences,"[3898.8, 1144.8, 572.4, 286.2]",309,5902,4022,GB,1,4
152124,Catterick,03:00,16/06/29,Euro 2016 Betting At 188Bet Handicap,Class 6,0-65,4yo+,1m4f,Soft,,"[3234.5, 962.5, 481.0, 240.5]",163.46,4917,2413,GB,5,6
154618,Bath,06:00,16/06/29,DJ &amp; P Handicap (Bath Summer Stayers' Series Qualifier),Class 6,0-60,3yo,1m3½f,Soft,,"[2264.15, 673.75, 336.7, 168.35]",159.51,3443,2312.5,GB,5,6
162287,Catterick,02:00,16/06/29,ebfstallions.com Novice Median Auction Stakes,Class 5,,2yo,6f,Good To Soft,,"[3234.5, 962.5, 481.0, 240.5]",76.66,4917,1206,GB,10,5
163416,Worcester,03:50,16/06/29,Snowhill Handicap Hurdle,Class 3,0-135,4yo+,2m4f,Good To Soft,10 hurdles,"[6330.0, 1870.0, 935.0, 468.0, 234.0]",296.9,9837,4022,GB,10,3
163430,Perth,02:10,16/06/29,Lodge At Perth Racecourse Opening Novices' Hurdle,Class 4,,4yo+,2m,Good,8 hurdles,"[3249.0, 954.0, 477.0, 238.5]",248.7,4918,3218,GB,1,4
163438,Bath,08:30,16/06/29,ARC Racing Syndicates Novice Auction Stakes,Class 6,,2yo,5f,Soft,,"[2264.15, 673.75, 336.7, 168.35]",66.74,3443,1005,GB,5,6
164306,Catterick,04:30,16/06/29,188bet.co.uk Handicap (Div II),Class 6,0-65,3yo+,6f,Soft,,"[2587.6, 770.0, 384.8, 192.4]",75.85,3935,1206,GB,5,6
166857,Worcester,02:50,16/06/29,Grand Central Handicap Chase,Class 5,0-100,4yo+,2m4f,Good,13 fences,"[3249.0, 954.0, 477.0, 238.5]",310.5,4918,4022,GB,1,5
167413,Bath,07:30,16/06/29,Kelston Cup Handicap,Class 3,0-90,3yo,1m5f,Soft,,"[9703.5, 2887.5, 1443.0, 721.5]",181.66,14757,2614,GB,5,3
169270,Worcester,03:20,16/06/29,Brindley Place Mares' Standard Open National Hunt Flat Race,Class 6,,4-6yo,2m,Good To Soft,,"[1949.4, 572.4, 286.2, 143.1]",232.5,2950,3218,GB,10,6
169652,Perth,04:10,16/06/29,Isle of Skye Blended Whisky Handicap Hurdle,Class 4,0-120,4yo+,3m,Good,12 hurdles,"[3898.8, 1144.8, 572.4, 286.2]",371.8,5902,4827,GB,1,4
170256,Perth,03:40,16/06/29,Mackie's Sky To Scoop Handicap Chase,Class 3,0-140,5yo+,3m,Good,18 fences,"[9495.0, 2805.0, 1402.5, 702.0, 351.0]",371.1,14755,4827,GB,1,3
107607,Catterick,02:30,16/06/29,Wimbledon Betting At 188Bet Handicap,Class 6,0-65,3yo,5f,Soft,,"[2587.6, 770.0, 384.8, 192.4]",60.96,3935,1005,GB,5,6
68716,Fairyhouse (IRE),06:20,16/06/29,Irish Stallion Farms European Breeders Fund Auction Fillies Maiden (Plus 10 Race),,,2yo,6f,Yielding To Soft,,"[9225.0, 2850.0, 1350.0, 600.0, 225.0]",77.53,14250,1206,IE,11,0
68896,Maisons-Laffitte (FR),02:20,16/06/29,Prix Rose Royale (Maiden) (2yo Fillies) (Turf),,,2yo,6f,Good,,"[9191.18, 3676.47, 2757.35, 1838.24, 919.12]",72.4,18381,1206,FR,1,0
71993,Kempton (AW),06:10,16/06/29,Racing Welfare Stable Staff Week Apprentice Handicap,Class 5,0-75,4yo+,6f,Standard,,"[2911.04, 866.25, 432.9, 108.23, 108.23]",72.18,4426,1206,GB,0,5
77267,Maisons-Laffitte (FR),03:25,16/06/29,Prix Astronomie (Conditions) (3yo Fillies) (Straight) (Turf),,,3yo,1m2f,Good,,"[12500.0, 5000.0, 3750.0, 2500.0, 1250.0]",129.6,25000,2011,FR,1,0
86471,Kempton (AW),07:40,16/06/29,32Red Casino Handicap (London Mile Series Qualifier),Class 4,0-85,3yo+,1m,Standard,,"[4690.02, 1395.62, 697.45, 348.73]",99.42,7132,1609,GB,0,4
90243,Bath,08:00,16/06/29,Excello Law Maiden Stakes (Plus 10 Race),Class 4,,3yo,1m,Soft,,"[7762.8, 2310.0, 1154.4, 577.2]",108.87,11804,1609,GB,5,4
54171,Kempton (AW),07:10,16/06/29,British Stallion Studs EBF Novice Fillies' Stakes (Plus 10 Race),Class 5,,2yo,7f,Standard,,"[3234.5, 962.5, 481.0, 240.5]",87,4917,1407,GB,0,5
11827,Bellewstown (IRE),05:05,16/06/30,Irish Stallion Farms European Breeders Fund Maiden (Plus 10 Race),,,2yo,5f,Yielding,,"[8610.0, 2660.0, 1260.0, 560.0, 210.0]",62.2,13300,1005,IE,6,0
15855,Yarmouth,03:20,16/06/30,Racing Welfare Stable Staff Handicap,Class 5,0-75,3yo+,7f,Good To Firm,,"[2911.05, 866.25, 432.9, 216.45]",84.55,4426,1407,GB,2,5
19522,Yarmouth,01:50,16/06/30,British Stallion Studs EBF Novice Stakes (Plus 10 Race) (Div I),Class 4,,2yo,6f,Good To Firm,,"[4657.68, 1386.0, 692.64, 346.32]",73.73,7083,1206,GB,2,4
29102,Perth,04:10,16/06/30,Mackie's Cream of the Crop Handicap Chase,Class 4,0-120,5yo+,2m4f,Good,15 fences,"[6330.0, 1870.0, 935.0, 468.0, 234.0]",299.6,9837,4022,GB,1,4
30129,Bellewstown (IRE),06:05,16/06/30,Castleview Homes Handicap,,,3yo+,5f,Soft,,"[10147.5, 3135.0, 1485.0, 660.0, 247.5]",60.36,15676,1005,IE,5,0
30376,Deauville (FR),03:40,16/06/30,Prix du Pley (Handicap) (3yo) (Turf),,,3yo,6f,Good,,"[11029.41, 4411.76, 3308.82, 2205.88, 1102.94]",71.26,22059,1206,FR,1,0
342,Newbury,08:05,16/06/30,Coolmore Stud EBF Fillies' Handicap,Class 4,0-85,3yo+,6f,Good To Soft,,"[6469.0, 1925.0, 962.0, 481.0]",74.88,9837,1206,GB,10,4
35400,Yarmouth,03:50,16/06/30,Jennings Bet Handicap,Class 6,0-60,3yo+,5f,Good To Firm,,"[2264.15, 673.75, 336.7, 168.35]",61.66,3443,1005,GB,2,6
36404,Tipperary (IRE),08:55,16/06/30,TipperaryRaces.ie Handicap,,45-65,3yo+,1m4½f,Yielding,,"[5842.5, 1805.0, 855.0, 380.0, 142.5]",174.81,9024,2513.5,IE,6,0
111635,Deauville (FR),04:40,16/06/30,Prix de la Folie (Handicap) (4yo+) (Turf),,,4yo+,5f,Good,,"[6985.29, 2794.12, 2095.59, 1397.06, 698.53]",58.55,13971,1005,FR,1,0
112123,Tipperary (IRE),08:25,16/06/30,Buy Online At TipperaryRaces.ie Handicap,,45-75,4yo+,1m1f,Yielding,,"[6457.5, 1995.0, 945.0, 420.0, 157.5]",121.81,9976,1810,IE,6,0
112656,Deauville (FR),06:10,16/06/30,Prix de Varaville (Conditions) (2yo) (Turf),,,2yo,5½f,Good,,"[10661.76, 4264.71, 3198.53, 2132.35, 1066.18]",65.56,21324,1105.5,FR,1,0
113322,Perth,02:40,16/06/30,Luncarty Novices' Handicap Hurdle,Class 4,0-105,4yo+,3m,Good,12 hurdles,"[3165.0, 935.0, 467.5, 234.0, 117.0]",372.1,4919,4827,GB,1,4
114306,Bellewstown (IRE),08:40,16/06/30,Kingbet Handicap Hurdle,,80-109,4yo+,2m1f,Yielding,10 hurdles,"[7687.5, 2375.0, 1125.0, 500.0, 187.5]",248.7,11876,3419,IE,6,0
117620,Newbury,07:00,16/06/30,Ronald Phillips Novice Stakes (Plus 10 Race) (Colts &amp; Geldings),Class 4,,2yo,6f,Good To Soft,,"[5175.2, 1540.0, 769.6, 384.8]",75.39,7870,1206,GB,10,4
117962,Perth,04:40,16/06/30,Scone Palace 50th Anniversary Conditional Jockeys' Handicap Hurdle,Class 4,0-120,4yo+,2m4f,Good,10 hurdles,"[3898.8, 1144.8, 572.4, 286.2]",302,5902,4022,GB,1,4
119460,Epsom,07:50,16/06/30,"totetrifecta Pick The 1,2,3 Handicap (Jockey Club Grassroots Flat Middle Distance Series Qualifier)",Class 4,0-80,3yo+,1m2f,Good To Soft,,"[4690.02, 1395.62, 697.45, 348.73]",134.89,7132,2011,GB,10,4
119555,Newbury,09:10,16/06/30,Pancreatic Cancer UK Handicap,Class 5,0-70,4yo+,1m2f,Good To Soft,,"[3234.5, 962.5, 481.0, 240.5]",131.69,4917,2011,GB,10,5
121427,Tipperary (IRE),07:55,16/06/30,Pride Of Tipperary Festival 2016 Fillies Handicap,,,3yo+,1m1f,Yielding,,"[7687.5, 2375.0, 1125.0, 500.0, 187.5]",122.36,11876,1810,IE,6,0
125446,Epsom,08:50,16/06/30,totepool Chip And Pin Betting Handicap,Class 4,0-85,3yo+,7f,Good To Soft,,"[4690.02, 1395.62, 697.45, 348.73]",86.34,7132,1407,GB,10,4
126092,Deauville (FR),06:40,16/06/30,Prix de Leaupartie (Conditions) (3yo) (Turf),,,3yo,6f,Good,,"[10661.76, 4264.71, 3198.53, 2132.35, 1066.18]",70.97,21324,1206,FR,1,0
126513,Epsom,08:20,16/06/30,toteexacta Pick The 1st And 2nd Handicap,Class 5,0-75,4yo+,1m½f,Good To Soft,,"[3234.5, 962.5, 481.0, 240.5]",108.91,4917,1709.5,GB,10,5
130083,Tipperary (IRE),06:15,16/06/30,Follow @TipperaryRaces On Twitter Race,,,3yo+,7½f,Yielding,,"[9840.0, 3040.0, 1440.0, 640.0]",98.41,14960,1507.5,IE,6,0
131907,Deauville (FR),05:40,16/06/30,Prix du Cochet (Maiden) (3yo Colts &amp; Geldings) (Polytrack),,,3yo,1m1½f,Standard,,"[9191.18, 3676.47, 2757.35, 1838.24, 919.12]",122.44,18381,1910.5,FR,0,0
134645,Perth,05:10,16/06/30,Scottish Game Fair Starts Tomorrow Standard Open National Hunt Flat Race,Class 5,,4-6yo,2m,Good,,"[2599.2, 763.2, 381.6, 190.8]",234.9,3935,3218,GB,1,5
134836,Epsom,06:10,16/06/30,Volta Data Centres Colocation Handicap,Class 5,0-75,4yo+,1m4f,Good To Soft,,"[3234.5, 962.5, 481.0, 240.5]",165.57,4917,2413,GB,10,5
136283,Deauville (FR),05:10,16/06/30,Prix de Croissanville (Claimer) (2yo) (Turf),,,2yo,6f,Good,,"[8455.88, 3382.35, 2536.76, 1691.18, 845.59]",72.1,16912,1206,FR,1,0
136705,Epsom,06:45,16/06/30,British Stallion Studs EBF Novice Median Auction Stakes,Class 5,,2yo,7f,Good To Soft,,"[3881.4, 1155.0, 577.2, 288.6]",86.94,5902,1407,GB,10,5
140038,Haydock,03:00,16/06/30,Float Glass Industries Handicap,Class 5,0-70,3yo,5f,Soft,,"[2911.05, 866.25, 432.9, 216.45]",63.4,4426,1005,GB,5,5
141123,Haydock,02:00,16/06/30,Ritec 35th Anniversary Handicap,Class 5,0-70,3yo+,1m2f,Soft,,"[2911.05, 866.25, 432.9, 216.45]",136.41,4426,2011,GB,5,5
142541,Deauville (FR),04:10,16/06/30,Prix de l'Hermeraie (Maiden) (3yo Fillies) (Polytrack),,,3yo,1m1½f,Standard,,"[9191.18, 3676.47, 2757.35, 1838.24, 919.12]",118.33,18381,1910.5,FR,0,0
146510,Haydock,04:30,16/06/30,Bohle 20th Anniversary Handicap,Class 3,0-95,3yo,1m6f,Soft,,"[7781.25, 2330.0, 1165.0]",182.04,11276,2815,GB,5,3
147839,Haydock,04:00,16/06/30,Tuffx Glass EBF Stallions Novice Stakes (Plus 10 Race),Class 4,,2yo,7f,Soft,,"[4269.54, 1270.5, 634.92, 317.46]",90.71,6492,1407,GB,5,4
149090,Perth,03:10,16/06/30,ROA/Racing Post Owners' Jackpot Novices' Handicap Hurdle,Class 4,0-105,3yo+,2m,Good,8 hurdles,"[3249.0, 954.0, 477.0, 238.5]",242.9,4918,3218,GB,1,4
150543,Bellewstown (IRE),05:35,16/06/30,Guinness Inter Vintners Pub Challenge Race Handicap,,45-65,3yo+,5f,Soft,,"[5842.5, 1805.0, 855.0, 380.0, 142.5]",60.85,9024,1005,IE,5,0
151438,Bellewstown (IRE),06:35,16/06/30,Lougher Stables Handicap,,45-65,3yo+,1m6f,Soft,,"[5842.5, 1805.0, 855.0, 380.0, 142.5]",197.57,9024,2815,IE,5,0
151541,Haydock,02:30,16/06/30,Pilkington Glass EBF Stallions Novice Stakes (Plus 10 Race),Class 4,,2yo,6f,Soft,,"[4269.54, 1270.5, 634.92, 317.46]",76.78,6492,1206,GB,5,4
154693,Bellewstown (IRE),08:10,16/06/30,Irish Mirror Novice Hurdle,,,4yo,2m1f,Yielding,10 hurdles,"[7995.0, 2470.0, 1170.0, 520.0, 195.0]",250.5,12350,3419,IE,6,0
157678,Bellewstown (IRE),07:05,16/06/30,McCabes Mitsubishi Motors Handicap,,60-90,3yo+,1m6f,Soft,,"[10147.5, 3135.0, 1485.0, 660.0, 247.5]",193.47,15676,2815,IE,5,0
163265,Yarmouth,02:50,16/06/30,AKS Skips of Norwich Selling Stakes,Class 6,,2yo,6f,Good To Firm,,"[2264.15, 673.75, 336.7, 168.35]",74.02,3443,1206,GB,2,6
165366,Perth,03:40,16/06/30,Meikleour Handicap Chase,Class 4,0-110,5yo+,2m,Good,12 fences,"[3898.8, 1144.8, 572.4, 286.2]",234.5,5902,3218,GB,1,4
166110,Tipperary (IRE),06:50,16/06/30,Tipperary Ladies Day Saturday 9th July Handicap,,45-65,3yo+,7½f,Yielding,,"[5842.5, 1805.0, 855.0, 380.0, 142.5]",98.59,9024,1507.5,IE,6,0
166362,Epsom,07:15,16/06/30,"totequadpot Races 3,4,5 And 6 Handicap",Class 3,0-95,3yo+,6f,Good To Soft,,"[7439.35, 2213.75, 1106.3, 553.15]",71.88,11312,1206,GB,10,3
167990,Haydock,03:30,16/06/30,Distinction Doors Nxt-Gen Handicap,Class 5,0-75,3yo+,7f,Soft,,"[3234.5, 962.5, 481.0, 240.5]",89.74,4917,1407,GB,5,5
168238,Bellewstown (IRE),07:40,16/06/30,Seamus Mulvaney Crockafotha Handicap Hurdle,,,4yo+,2m4f,Yielding,11 hurdles,"[10147.5, 3135.0, 1485.0, 660.0, 247.5]",294.9,15676,4022,IE,6,0
170455,Newbury,05:55,16/06/30,Donnington Grove Hotel &amp; Fairfield Residential Apprentice Handicap,Class 5,0-70,3yo+,5f,Good To Soft,,"[2911.05, 866.25, 432.9, 216.45]",63.58,4426,1005,GB,10,5
171466,Perth,02:10,16/06/30,JMIFA Maiden Hurdle,Class 5,,4yo+,2m4f,Good,10 hurdles,"[3249.0, 954.0, 477.0, 238.5]",304.7,4918,4022,GB,1,5
103999,Tipperary (IRE),07:20,16/06/30,Tipperary Maiden,,,3yo+,1m1f,Yielding,,"[7072.5, 2185.0, 1035.0]",127.69,10292,1810,IE,6,0
106311,Yarmouth,05:25,16/06/30,"Follow Great Yarmouth Racecourse On Twitter ""Hands And Heels"" Series Apprentice Handicap",Class 6,0-65,4yo+,1m3½f,Good To Firm,,"[2264.15, 673.75, 336.7, 168.35]",149.66,3443,2312.5,GB,2,6
75573,Yarmouth,04:20,16/06/30,Norwich Airport Handicap,Class 5,0-70,3yo+,1m,Good To Firm,,"[3234.5, 962.5, 481.0, 240.5]",98.18,4917,1609,GB,2,5
77259,Haydock,05:00,16/06/30,Supalite Tiled Roof Fillies' Handicap,Class 5,0-75,3yo+,1m,Soft,,"[2911.05, 866.25, 432.9, 216.45]",104.87,4426,1609,GB,5,5
79832,Newbury,06:25,16/06/30,Christian Marner EBF Novice Fillies' Stakes (Plus 10 Race),Class 4,,2yo,6f,Good To Soft,,"[4851.75, 1443.75, 721.5, 360.75]",76.53,7379,1206,GB,10,4
82151,Newbury,08:35,16/06/30,Denford Stud Handicap,Class 5,0-75,3yo,1m,Good To Soft,,"[3234.5, 962.5, 481.0, 240.5]",101.7,4917,1609,GB,10,5
90291,Yarmouth,02:20,16/06/30,British Stallion Studs EBF Novice Stakes (Plus 10 Race) (Div II),Class 4,,2yo,6f,Good To Firm,,"[4657.68, 1386.0, 692.64, 346.32]",72.5,7083,1206,GB,2,4
90431,Yarmouth,04:50,16/06/30,Moulton Nursery of Acle Handicap,Class 4,0-80,3yo,1m1f,Good To Firm,,"[5045.82, 1501.5, 750.36, 375.18]",113.77,7673,1810,GB,2,4
98597,Deauville (FR),07:10,16/06/30,Prix de Radon (Handicap) (3yo) (Turf),,,3yo,6f,Good,,"[8455.88, 3382.35, 2536.76, 1691.18, 845.59]",71.14,16912,1206,FR,1,0
47082,Tipperary (IRE),05:45,16/06/30,Irish Stallion Farms European Breeders Fund Fillies Maiden (Plus 10 Race),,,2yo,7½f,Yielding,,"[8610.0, 2660.0, 1260.0, 560.0, 210.0]",100.16,13300,1507.5,IE,6,0
58884,Newbury,07:30,16/06/30,Pelican Handicap,Class 4,0-85,3yo,1m4f,Good To Soft,,"[4690.02, 1395.62, 697.45, 348.73]",160.34,7132,2413,GB,10,4
1010,Newton Abbot,03:45,16/07/01,newtonabbotracing.com Handicap Hurdle,Class 3,0-130,4yo+,3m2½f,Good To Firm,12 hurdles,"[6804.74, 2010.25, 1005.13, 503.1, 251.55]",369.9,10575,5329.5,GB,2,3
13571,Bellewstown (IRE),06:05,16/07/01,Dore &amp; Co Solicitors Handicap,,60-90,3yo+,1m,Heavy,,"[10455.0, 3230.0, 1530.0, 680.0, 255.0]",101.66,16150,1609,IE,9,0
14004,Doncaster,02:30,16/07/01,Normandie Stud Maiden Stakes,Class 5,,3yo+,1m4f,Soft,,"[3881.4, 1155.0, 577.2, 288.6]",161.93,5902,2413,GB,5,5
15943,Haydock,08:30,16/07/01,"Betfred ""Thanks Our Staff Here Tonight"" Handicap",Class 3,0-95,3yo+,1m,Heavy,,"[8086.25, 2406.25, 1202.5, 601.25]",106.49,12295,1609,GB,9,3
26637,Doncaster,04:10,16/07/01,Betfair Stable Staff Week Classified Stakes,Class 3,0-90,4yo+,7f,Soft,,"[7762.8, 2310.0, 1154.4, 577.2]",89.95,11804,1407,GB,5,3
28072,Les Landes (JER),08:15,16/07/01,La Verte Rue Handicap,,,3yo+,1m1f,Good,,"[1780.0, 640.0, 380.0]",122,2800,1810,JER,1,0
31762,Beverley,08:45,16/07/01,Ferguson Fawsitt Arms Handicap,Class 6,0-60,3yo+,5f,Soft,,"[2587.6, 770.0, 384.8, 192.4]",64.78,3935,1005,GB,5,6
3469,Wexford (IRE),06:20,16/07/01,info@wexfordraces.ie Mares Maiden Hurdle,,,5yo+,2m4f,Good,13 hurdles,"[6457.5, 1995.0, 945.0, 420.0, 157.5]",301.6,9976,4022,IE,1,0
38822,Les Landes (JER),06:30,16/07/01,Country Blue Handicap,,0-50,3yo+,7f,Good,,"[1780.0, 640.0, 380.0]",90,2800,1407,JER,1,0
4340,Chelmsford (AW) (GB) (ARAB),08:30,16/07/01,Royal Cavalry of Oman 0-80 Handicap Stakes,,0-80,4yo+,1m2f,Standard,,"[750.0, 300.0, 180.0, 120.0, 90.0, 60.0]",135.95,1500,2011,ARAB,0,0
